,s1,s41,s42,s43,a0,a2,a301,a4,a501,a6,a7a,a7aa,a7b,a7c,a8a,a10,a10a,a11,a1299,a121,a122,a123,a124,a125,a126,a127,a128,a12a,a13,a14,a15,a16,a17,a18,a21,a281,a282,a283,a284,a285,a286,a3001,a3002,a3003,a3004,a3005,a3006,a3007,a3008,a3009,a3010,a3011,a3012,a311,a312,a313,a31a,a31b,a32,a35,a36,a431,a432,a433,a434,a58,a59a,a59c,a59e,a59f,a611,a612,a613,a614,a62,a63,a64,a65,a66,a6799,a6701,a6702,a6703,a6704,a6705,a6706,a6707,a6708,a67a,a681,a682,a68a,a69,a70,a71a,a71b,a72,a73,a74,a75a,a81,a82,a85,a89a,a89b,a89c,a89d,a90a,a90b,a90c,a90d,b1,b2,b3,b5,b6,b1001,b1002,b1003,b1004,b1005,b1006,b1007,b1008,b1009,b1010,b1011,b1012,b1013,b12,b161,b162,b163,b164,b165,b166,b167,b168,b169,a60k,b7,a371,a372,a373,a421,a422,a423,a425,a7b
10,1,4,7,21,2015/10/1 10:54,2,1962,1,1,1,4, ,4,1978,36000,1, ,6,0,0,0,0,0,0,0,0,1, ,160,92,3,2,1,2,1,1,1,1,5,1,3,1,5,5,5,5,5,5,2,5,5,5,5,1,4,1, , ,1,4,4,4,2,7,1,1,3,4,1,3,1,2,2,2,40000,1,2,0,2,0,1,0,0,0,0,0,0,0, ,1,0,0,3,1987,1958,1987,4,1,2,0,5, , ,1931,1,1,1,1934,3,1,15,3,1,4,2,50000,5,4,4,4,4,4,3,4,4,3,-8,4,3,4,100,0,0,60,50,60,60,60,60, ,4,2,1,1,4,4,2,4,4
11,1,4,7,15,2015/10/1 10:38,1,1950,1,1,4,4, ,4,1967,20000,1, ,36.79999924,0,0,1,0,0,0,0,0,0, ,165,120,4,5,5,5,3,5,4,4,5,1,1,1,5,4,1,4,3,4,1,1,5,5,5,2,4,4,1,6,1,3,4,4,4,4,1,5, , , , ,1,1,2,2,50000,2,2,1,2,0,1,0,0,0,0,0,0,0, ,0,1,0,3,1979,1951,1979,4,1,5,20000,5, , ,-2,-8,1,16,-2,-8,1,16,3,1,4,3,-2,5,5,5,5,5,5,3,3,2,4,2,-8,1,5,70,70,60,50,30,30,10,20,20,1,3,2,1,1,1,2,2,2,4
12,1,4,7,21,2015/9/18 13:52,1,1954,1,1,1,7, ,4,1976,50000,1, ,64,0,1,0,0,0,0,0,0,0, ,169,130,3,4,5,2,1,2,2,4,4,5,1,1,5,2,5,5,4,4,1,1,5,5,1,2,3,1,3,6,1,1,5,4,3,4,1,5, , , , ,1,1,2,2,80000,2,-8,1,2,0,1,0,0,0,0,0,0,0, ,1,0,0,3,1981,1953,1981,4,4,2,30000,1,3,1,-2,-8,1,16,1911,1,1,15,2,1,-8,3,-2,4,3,-8,-8,5,4,3,2,2,2,-8,2,2,4,75,90,60,-2,95,90,-2,90,-2,-8,6,2,2,0,4,1,1,1,4
13,1,4,7,18,2015/10/3 20:13,1,1949,1,1,1,7, ,4,1965,40000,1, ,63,0,1,0,0,0,0,0,0,0, ,176,170,5,5,5,5,1,4,4,4,5,2,1,4,4,3,2,2,3,3,3,1,4,5,4,3,3,3,5,5,2,4,5,5,5,4,3,5, , , , ,1,1,2,2,70000,3,3,1,2,0,1,0,0,0,0,0,0,0, ,1,0,1,3,1977,1952,1977,7,1,5,30000,5, , ,1927,2,1,2,1930,1,1,2,2,2,4,3,80000,4,3,3,3,5,5,3,4,3,4,4,4,3,4,100,100,100,100,100,100,100,100,100,1,3,2,1,1,4,4,4,3,4
14,1,4,7,21,2015/9/23 18:01,2,1953,4,0,1,7, ,4,1989,100000,1, ,75,0,0,1,0,0,0,0,0,0, ,167,140,2,5,5,5,2,2,1,1,5,5,1,1,5,3,2,5,4,4,1,5,5,5,1,3,5,5,7,7,1,4,5,5,3,5,3,1,3,45,1,2,1,-1,2,2,150000,2,4,3,2,0,1,0,0,0,0,0,0,0, ,0,1,0,3,1979,1953,1979,4,4,5,36000,5, , ,1913,2,1,1,1921,1,1,15,2,2,5,2,180000,5,2,-8,-8,4,4,3,4,-8,-8,-8,4,1,3,90,100,90,50,60,60,80,0,80, ,3,2,1,1,1,1,4,5,4
15,1,4,7,15,2015/10/6 16:16,2,1996,1,0,1,4, ,4,2012,-2,1, ,15,0,0,0,0,0,0,0,0,1, ,153,110,4,4,4,4,3,1,1,3,4,5,1,1,5,5,5,5,5,3,1,5,5,5,1,1,3,1, , ,4,4,5,5,1,6,4,5, , , , ,2,2,2,2,-2,5,3,2,2,0,1,0,0,0,0,0,0,0, ,0,0, ,2,-1,1995, ,4,1,1,-3,1,3,1,1979,3,1,1,1979,3,1,-8,2,1,4,2,30000,5,2,3,2,5,2,2,4,1,5,-8,5,1,4,80,60,50,70,40,80,80,50,70,3,6,2,1,1,2,4,1,3,4
16,1,4,7,18,2015/10/3 15:21,1,1984,1,1,1,12, ,4,2005,100000,1, ,90,0,0,0,0,0,0,0,0,1, ,176,170,2,5,5,5,3,2,3,4,2,3,3,4,3,4,2,2,3,4,3,2,3,2,3,4,3,4,2,4,3,2,4,7,1,7,2,1,3,-1,1,2,1,1,2,2,100000,3,4,0,1,0,1,0,0,0,0,0,0,0, ,0,1,1,3,2011,1986,1986,9,1,5,0,5, , ,1950,6,1,2,1950,4,1,2,2,2,2,3,250000,2,4,3,4,4,2,3,3,2,4,-8,-8,3,3,50,50,50,50,70,40,70,50,50, ,4,1,0,1,2,3,3,4,4
17,1,4,7,21,2015/9/13 14:56,2,1978,1,1,1,7, ,4,1997,24000,1, ,38,0,0,0,0,1,0,0,0,0, ,157,148,4,5,5,4,3,3,3,4,4,4,3,2,4,3,2,4,4,3,3,4,5,4,1,4,3,2,5,2,6,4,4,3,3,5,3,1,3,18,1,3,1,1,1,1,120000,3,3,0,1,0,0,1,0,0,1,0,0,0, ,1,0,1,3,2000,1974,2000,11,1,2,100000,1,3,1,1945,6,1,9,1950,4,1,15,3,2,3,2,50000,5,4,5,4,5,5,4,5,3,4,3,4,3,3,70,50,50,70,80,50,80,70,30, ,6,2,1,1,3,2,3,5,4
18,1,4,7,21,2015/9/12 14:55,1,1951,1,1,1,4, ,4,1968,300000,1, ,48,0,0,0,0,0,0,0,0,1, ,175,170,3,5,5,4,2,2,1,1,5,1,4,1,5,4,2,5,5,4,5,1,5,5,5,3,5,1,7,5,1,4,4,1,1,1,1,5, , , , ,1,1,2,2,50000,2,2,1,2,0,1,0,0,0,0,0,0,0, ,1,1,0,3,1985,1957,1985,4,1,5,20000,5, , ,1922,2,1,9,1921,2,1,2,2,2,3,2,40000,3,3,3,3,3,3,3,3,3,3,3,3,1,3,60,90,50,50,80,100,80,80,60,1,3,2,1,1,4,4,4,5,4
19,1,4,7,16,2015/10/1 10:27,2,1982,1,1,1,10, ,4,2006,300000,2, ,81.30000305,0,0,0,0,1,0,0,0,0, ,163,114,5,5,5,5,3,2,3,2,4,5,4,1,3,4,3,4,4,2,1,4,4,5,1,4,4,3,6,4,3,4,5,6,4,8,7,1,3,7,1,2,1,1,1,1,340000,3,4,1,1,0,1,0,0,0,0,0,0,0, ,0,0, ,1, , , , , , , , , , ,1949,6,1,1,1952,4,1,1,2,2,3,2,1000000,3,3,3,3,5,4,3,4,3,3,-8,3,2,3,40,50,40,60,60,70,75,70,60, ,6,2,1,1,3,2,4,3,4
20,1,4,7,20,2015/10/4 16:39,2,1958,1,1,1,6, ,4,1976,35000,1, ,54,0,1,0,0,0,0,0,0,1, ,154,110,3,5,2,2,1,3,3,1,5,5,5,1,5,2,1,5,4,4,2,3,5,5,5,4,4,1,7,5,2,2,3,5,1,6,5,1,3,38,1,3,1,1,2,2,80000,2,3,1,2,0,1,0,0,0,0,0,0,0, ,0,1,0,3,1982,1958,1982,4,1,2,70000,1,3,1,1936,2,1,1,1936,1,1,15,2,1,4,2,100000,5,4,3,3,4,2,1,4,-8,-8,-8,-8,1,5,50,50,30,30,50,60,50,20,40, ,4,1,0,1,2,2,2,4,4
21,1,4,7,21,2015/9/14 19:08,1,1960,1,0,3,6, ,4,1978,22000,1, ,62,0,0,0,0,0,0,0,0,1, ,169,140,3,4,4,5,2,3,3,4,4,5,1,2,5,3,1,3,2,3,1,1,4,4,1,3,3,3,5,4,1,4,4,3,3,4,4,1,3,35,1,2,1,1,2,2,48400,2,2,0,2,0,1,0,0,0,0,0,0,0, ,1,0,0,3,1985,1961,1985,6,1,5,26400,5, , ,1935,2,1,1,1936,2,1,1,3,2,4,4,40000,5,5,5,4,4,4,3,3,2,2,2,2,2,3,75,60,60,70,75,70,65,70,60, ,5,1,1,0,2,1,1,2,4
22,1,4,7,18,2015/10/3 11:25,2,1959,1,1,1,6, ,4,1976,20000,1, ,21,0,0,0,0,0,0,0,0,1, ,159,104,5,5,5,4,2,2,2,4,4,4,2,1,4,3,3,1,4,4,1,1,5,5,1,2,3,2,1,3,2,4,5,5,5,5,5,1,3,13,1,3,1,1,2,2,56000,2,2,0,2,0,1,0,0,0,0,0,0,0, ,0,1,0,3,1985,1961,1985,4,1,4,36000,1,3,1,-2,3,1,2,-2,3,1,2,2,2,4,2,-2,3,3,3,3,3,3,3,3,3,3,-8,3,1,3,60,60,60,60,60,60,60,50,60, ,3,1,0,1,3,2,3,5,4
23,2,4,7,22,2015/8/29 18:32,2,1962,1,0,2,1, , , ,30000,1, ,15,0,0,0,0,0,0,0,0,1, ,166,100,2,3,4,1,3,1,1,3,5,1,1,1,5,3,5,5,4,4,5,5,5,2,5,2,3,1,5,5,1,5,4,3,1,5,3,1,5,13,1,4,1,1,1,1,60000,2,3,1,2,0,1,0,0,0,0,0,0,0, ,1,2,0,3,1982,1958,1982,4,1,1,30000,1,5,1,1927,1,1,2,1926,1,1,2,2,1,3,2,40000,5,4,4,4,4,4,4,-8,4,3,3,3,2,3,70,50,60,70,60,70,70,70,70, ,4,2,1,1,2,4,1,4, 
24,1,4,7,15,2015/10/7 14:55,1,1986,2,1,1,12, ,4,2010,200000,1, ,18,0,0,0,0,0,0,0,0,1, ,170,126,4,4,4,1,3,2,2,2,3,5,1,2,5,2,1,5,4,4,2,1,5,5,1,2,4,4,7,5,4,4,5,6,4,8,5,1,3,5,1,3,2,2,2,2,220000,3,3,0,2,0,1,0,0,0,0,0,0,0, ,0,1,1,3,2011,1987,2011,12,4,1,50000,1,3,1,1962,6,1,9,1963,3,1,9,1,1,4,2,180000,5,3,4,4,5,4,3,5,4,4,-8,4,2,2,75,60,0,60,70,50,70,60,60, ,3,2,1,1,2,2,4,4,4
25,1,4,7,16,2015/9/26 20:01,2,1979,1,1,1,6, ,4,1999,0,1, ,100,0,0,0,0,0,0,0,0,1, ,160,130,4,5,4,1,3,1,1,2,4,4,4,1,5,3,4,5,4,4,4,1,5,4,1,1,3,3, , ,5,3,4,5,1,5,5,6, , , , ,1,2,2,1,-2,3,2,1,1,0,1,0,0,0,0,0,0,0, ,1,1,2,3,2000,1977,2000,9,1,1,-2,1,2,2,1957,4,4,2,1955,1,1,2,3,2,3,-8,40000,4,4,4,3,5,4,3,4,2,3,-8,-8,1,2,80,80,60,70,60,60,80,70,60, ,5,2,1,1,4,4,2,4,4
26,1,4,7,20,2015/10/18 18:43,1,1957,1,1,1,4, ,4,1974,0,1, ,71,0,1,0,0,0,0,0,0,0, ,165,130,5,5,5,2,1,2,2,5,5,1,1,1,5,5,4,5,4,4,1,1,5,5,5,2,5,1,7,5,1,4,5,5,3,6,2,5, , , , ,1,1,2,2,31200,2,4,1,2,0,1,0,0,0,0,0,0,0, ,1,0,0,3,1981,1956,1981,4,1,2,19200,5, , ,1929,1,1,2,1931,1,1,1,2,2,4,2,40000,4,3,3,2,3,4,1,1,1,4,1,1,1,4,100,90,100,100,100,100,100,100,100,1,5,1,97,97,4,1,2,5,4
27,1,4,7,20,2015/10/1 12:54,2,1959,1,1,1,9, ,4,1999,36000,4,2008,59,0,0,0,0,1,0,0,0,0, ,160,140,3,5,5,2,1,4,3,3,3,3,2,2,5,1,1,4,2,2,1,1,4,4,1,3,5,4,4,5,2,4,4,6,6,6,6,5, , , , ,1,2,2,2,180000,4,3,1,1,0,1,0,0,0,0,0,0,0, ,1,0,0,3,1984,1957,1984,11,4,2,50000,1,4,1,-2,3,1,1,-2,3,1,1,2,2,3,3,60000,3,3,3,3,5,5,2,4,3,3,3,3,1,3,98,98,60,60,60,60,60,80,80, ,4,1,97,97,4,4,4,4,4
28,1,4,7,18,2015/10/4 14:15,2,1973,1,1,1,4, ,4,1991,20000,1, ,82.90000153,0,1,0,0,0,0,0,0,0, ,155,120,3,5,5,1,2,1,1,1,4,1,1,1,5,4,5,5,4,4,5,5,5,5,5,2,4,2,6,5,4,4,4,3,3,4,5,5, , , , ,1,1,2,2,40000,3,3,1,2,0,1,0,0,0,0,0,0,0, ,1,0,1,3,1998,1964,1998,4,1,5,20000,5, , ,1947,4,1,1,1951,1,1,-8,3,2,3,-8,100000,5,4,5,4,4,4,2,5,4,4,-8,4,1,3,80,60,70,70,60,70,80,70,60,-8,6,1,97,97,5,1,4,4,4
29,1,4,7,18,2015/10/3 11:42,2,1974,1,1,1,7, ,4,1996,40000,1, ,60,0,1,0,0,0,0,0,0,0, ,155,130,5,5,5,4,2,2,2,5,5,5,5,1,3,3,3,2,3,2,3,3,3,3,1,3,3,3,5,5,4,3,3,5,5,5,5,1,3,20,1,3,1,1,2,2,50000,3,3,1,2,0,1,0,0,0,0,0,0,0, ,0,1,1,3,1999,1974,1999,7,1,5,0,5, , ,1950,2,1,2,1930,1,1,2,3,2,5,2,10000,4,3,3,3,3,3,4,4,4,4,4,5,4,2,80,80,80,80,80,80,80,80,80, ,3,1,97,97,3,3,2,3,4
30,1,4,7,18,2015/10/4 10:09,2,1981,1,1,1,10, ,4,2002,-3,1, ,130,0,0,0,0,1,0,0,0,0, ,160,120,5,5,5,5,1,2,2,2,4,5,2,1,4,3,4,4,4,4,4,4,5,5,1,2,4,3,7,5,1,3,4,4,4,5,5,1,3,13,1,4,1,1,2,2,-3,5,3,1,1,0,0,1,1,0,0,0,0,0, ,0,1,1,3,2014,1980,2014,10,1,5,-3,1,3,1,1954,12,4,1,1954,4,1,1,2,2,4,3,100000,4,4,3,3,5,5,3,3,3,3,-8,-8,1,3,60,60,30,60,50,50,60,70,70, ,3,1,0,1,2,1,2,5,4
31,1,4,7,21,2015/9/28 14:20,2,1964,1,1,1,9, ,4,1983,50000,1, ,80,0,0,1,0,0,0,0,0,0, ,171,150,3,3,2,5,2,2,2,2,4,5,1,1,4,3,4,4,3,3,1,3,5,5,1,4,4,1,7,3,1,3,4,3,4,2,4,5, , , , ,1,1,2,2,150000,3,2,1,1,0,0,1,0,0,0,0,0,0, ,0,1,0,3,1990,1962,1990,13,3,5,100000,1,3,1,1936,12,4,1,1941,7,1,1,2,3,3,2,70000,3,2,-8,-8,4,5,3,3,4,5,4,4,1,3,49,49,20,49,60,60,59,49,20,1,6,2,1,1,4,4,5,1,4
32,1,4,7,17,2015/10/4 8:27,2,1970,1,1,1,9, ,4,1992,50000,1, ,90,0,1,1,0,0,0,0,0,0, ,160,110,3,5,5,2,1,2,4,3,1,5,1,5,5,3,1,4,4,4,1,3,5,5,1,3,3,4,5,3,4,4,4,3,2,4,1,1,3,20,1,2,1,1,2,2,100000,3,3,1,2,0,1,0,0,0,0,0,0,0, ,0,1,1,3,1998,1968,1998,9,1,2,50000,1,3,1,1935,7,4,1,1935,7,1,1,2,2,5,2,100000,5,4,5,5,5,5,4,5,5,4,-8,4,3,3,80,80,80,80,80,80,90,80,90, ,3,1,0,1,1,1,1,5,4
33,1,4,7,18,2015/10/4 11:29,2,1942,1,1,1,4, ,4,-2,50000,1, ,42,0,0,1,0,0,0,0,0,0, ,155,140,2,2,4,5,1,2,3,2,3,3,3,3,3,2,4,3,4,3,2,4,3,4,5,3,4,3,2,4,2,2,2,4,3,6,1,5, , , , ,1,1,2,2,80000,3,3,1,2,0,1,0,0,0,0,0,0,0, ,2,0,0,3,1969,1940,1969,4,1,5,40000,5, , ,-2,1,1,2,-2,1,1,2,2,2,3,2,-2,4,5,4,5,5,5,4,5,5,4,1,5,1,5,80,70,50,50,90,80,70,70,70,1,3,2,0,2,4,4,4,4,4
34,1,4,7,15,2015/10/7 10:07,1,1990,1,1,1,6, ,4,2009,60000,1, ,50,0,0,0,0,0,0,0,0,1, ,178,146,5,4,4,1,3,3,3,2,5,5,4,1,3,3,3,4,4,3,2,4,4,5,1,2,4,4,7,3,3,3,4,5,3,6,3,1,3,6,1,3,1,1,2,2,80000,2,2,0,2,0,1,0,0,0,0,0,0,0, ,0,0, ,3,2014,1991,2014,9,1,1,-3,1,3,1,1967,4,1,2,1966,4,1,15,2,1,4,3,100000,3,3,5,4,5,4,4,5,3,3,3,3,1,2,60,50,40,60,60,50,60,60,70, ,6,2,1,1,4,5,2,3,4
35,1,4,7,18,2015/10/3 16:08,1,1962,1,1,1,3, ,4,-2,0,1, ,160,0,1,0,0,0,0,0,0,0, ,170,140,1,1,1,1,1,1,1,1,5,1,1,1,5,5,5,5,4,4,5,2,5,5,5,2,5,1,4,3,1,4,2,2,1,4,2,4, , , , ,1,2,2,2,50000,4,1,1,2,0,1,0,0,0,0,0,0,0, ,1,0,0,3,1984,1969,1984,3,1,1,0,4, , ,-2,-8,1,2,-2,1,1,2,3,1,4,3,60000,4,4,4,4,5,4,3,4,4,4,-8,4,2,5,80,70,70,80,78,80,80,89,80, ,3,2,1,1,4,4,4,-8,4
36,1,4,7,21,2015/9/18 15:18,2,1985,1,1,2,13, ,4,2010,40000,4,2009,54,0,1,1,0,0,0,0,0,0, ,158,88,4,4,3,2,1,2,2,2,3,5,1,3,4,2,2,4,3,4,3,2,5,5,1,4,2,4,2,1,3,2,4,5,5,7,5,1,3,5,1,2,1,1,2,2,300000,3,3,1,1,0,1,0,0,0,0,0,0,0, ,1,0,1,3,2012,1980,2012,12,4,2,260000,1,3,1,1956,6,1,2,1956,3,1,2,3,2,4,3,60000,4,3,5,5,5,5,4,5,3,3,-8,4,3,3,70,70,70,80,75,75,80,80,80, ,3,2,1,1,4,1,4,5,4
37,1,4,7,20,2015/10/7 11:24,1,1938,1,1,1,10, ,4,1985,32000,4,1956,63,0,1,0,0,0,0,0,0,0, ,170,145,3,5,5,4,1,4,3,5,5,1,1,1,4,2,1,3,4,4,2,1,4,5,5,3,4,4,5,5,4,4,5,5,5,5,5,5, , , , ,1,1,2,2,50000,2,2,1,2,0,1,0,0,0,0,0,0,0, ,0,2,0,4,1960,1957,2008,6,1,5,20000,1,3,1,1889,2,1,2,1889,1,1,2,1,1,4,3,80000,4,4,4,4,4,4,4,4,3,4,-8,4,3,4,70,70,60,70,80,70,70,60,70,1,6,2,0,2,2,2,4,5,4
38,1,4,7,19,2015/10/2 17:19,2,1966,1,1,1,6, ,4,1984,50000,1, ,64,0,0,0,0,0,0,0,0,1, ,159,120,4,4,5,2,1,2,2,1,5,5,1,1,4,2,2,5,3,2,3,4,5,4,1,4,4,2,7,2,1,4,5,6,4,7,5,5, , , , ,1,1,1,1,100000,2,-8,0,2,0,1,0,0,0,0,0,0,0, ,0,1,0,3,1987,1963,1987,4,1,2,500000,1,3,1,-2,3,1,2,-2,1,1,2,2,2,5,2,-2,4,3,5,5,4,4,4,4,4,3,-8,4,3,4,75,75,60,80,80,70,70,75,75,1,6,1,97,97,2,2,5,5,4
39,1,4,7,19,2015/10/1 14:36,2,1977,1,1,1,4, ,4,1993,60000,1, ,70,0,0,0,0,0,0,0,0,1, ,160,120,5,5,4,1,3,2,3,4,4,4,4,1,4,3,3,5,4,4,1,4,5,5,2,2,3,2,7,5,2,3,5,3,3,4,3,1,3,18,1,3,1,2,1,2,60000,1,3,0,1,0,1,0,0,0,0,0,0,0, ,0,1,1,6,2001, , , , , , , , , ,1958,4,1,2,1956,4,1,2,2,2,4,2,100000,4,4,5,5,5,4,4,5,4,4,-8,4,2,3,70,80,30,60,50,60,80,80,60, ,5,1,0,1,5,5,5,4,4
